Date,Price
3/22/2022,1341.2
3/23/2022,1324.08
3/24/2022,1330.59
3/25/2022,1364.15
3/28/2022,1335.42
3/29/2022,1323.23
3/30/2022,1321.88
3/31/2022,1316.41
4/1/2022,1316.41
4/4/2022,1325.2
4/5/2022,1316.7
4/6/2022,1297.09
4/7/2022,1308.23
4/11/2022,1290.99
4/12/2022,1296.76
4/13/2022,1300.89
4/14/2022,1302.75
4/19/2022,1306.27
4/20/2022,1291.86
4/21/2022,1298.89
4/22/2022,1292.14
4/25/2022,1283.08
4/26/2022,1286.92
4/27/2022,1287.47
4/28/2022,1287.75
4/29/2022,1246.99
5/3/2022,1244.67
5/4/2022,1248.52
5/5/2022,1244.97
5/6/2022,1242.7
5/9/2022,1226.92
5/10/2022,1226.93
5/11/2022,1232.58
5/12/2022,1214.84
5/13/2022,1219.44
5/16/2022,1228.45
5/17/2022,1228.63
5/18/2022,1232.76
5/19/2022,1227.73
5/20/2022,1219.74
5/23/2022,1226.59
5/24/2022,1218.98
5/25/2022,1214.3
5/26/2022,1205.5
5/27/2022,1216.77
5/30/2022,1240.94
5/31/2022,1249.07
6/1/2022,1266.06
6/2/2022,1264.1
6/7/2022,1257.71
6/8/2022,1243.58
6/10/2022,1243.57
6/13/2022,1238.16
6/14/2022,1225.92
6/15/2022,1217.92
6/16/2022,1209.12
6/17/2022,1202.17
6/20/2022,1184.08
6/21/2022,1172.17
6/22/2022,1156.18
6/23/2022,1157.15
6/24/2022,1151.49
6/27/2022,1145.36
6/28/2022,1133.32
6/29/2022,1130.12
6/30/2022,1148.15
7/1/2022,1164.58
7/4/2022,1204.5
7/5/2022,1205.62
7/6/2022,1209.24
7/7/2022,1211.11
7/8/2022,1238.28
7/11/2022,1261.33
7/12/2022,1270.92
7/13/2022,1264.29
7/14/2022,1251.58
7/15/2022,1250.48
7/18/2022,1243.31
7/19/2022,1246.91
7/20/2022,1234.45
7/21/2022,1230.52
7/22/2022,1243.61
7/25/2022,1240.32
7/26/2022,1251.07
7/27/2022,1253.15
7/28/2022,1254
7/29/2022,1296.43
8/1/2022,1308.9
8/2/2022,1303.08
8/3/2022,1300.49
8/4/2022,1299.79
8/5/2022,1307.87
8/8/2022,1303.3
8/9/2022,1304.43
8/10/2022,1310.91
8/11/2022,1349.17
8/12/2022,1341.05
8/15/2022,1331.07
8/16/2022,1312.39
8/17/2022,1331.76
